lead_id,nombre,correo,telefono,pais,fuente,campaña,estado,intereses,presupuesto_estimado,fecha_creacion,nota_fecha,nota_comentario,nota_vendedor
LD-1,Paula Reyes,paula.reyes@correo.com,3003630278,México,Facebook Ads,Campaña 1,Contactado,"Cursos, Consultoría",4350,2025-11-21T22:46:04.997101,2025-11-21T22:46:04.997107,Nota inicial del lead 1,Vendedor 2
LD-2,Sara Díaz,sara.díaz@correo.com,3009368490,Chile,Landing Page,Campaña 1,Calificado,"Consultoría, Publicidad",3173,2025-11-21T22:46:04.997115,2025-11-21T22:46:04.997117,Nota inicial del lead 2,Vendedor 3
LD-3,María Rodríguez,maría.rodríguez@correo.com,3006333764,Perú,Instagram,Campaña 1,En negociación,"Publicidad, Marketing",3467,2025-11-21T22:46:04.997124,2025-11-21T22:46:04.997126,Nota inicial del lead 3,Vendedor 4
LD-4,María Gómez,maría.gómez@correo.com,3004376146,Argentina,WhatsApp,Campaña 1,Perdido,"Marketing, Software",2342,2025-11-21T22:46:04.997131,2025-11-21T22:46:04.997132,Nota inicial del lead 4,Vendedor 1
LD-5,Diana Rodríguez,diana.rodríguez@correo.com,3007675546,Colombia,Google Ads,Campaña 1,Nuevo,"Software, Cursos",1751,2025-11-21T22:46:04.997138,2025-11-21T22:46:04.997139,Nota inicial del lead 5,Vendedor 2
LD-6,Andrés Romero,andrés.romero@correo.com,3001463307,México,Facebook Ads,Campaña 1,Contactado,"Cursos, Consultoría",1274,2025-11-21T22:46:04.997145,2025-11-21T22:46:04.997146,Nota inicial del lead 6,Vendedor 3
LD-7,Natalia Mendoza,natalia.mendoza@correo.com,3003764709,Chile,Landing Page,Campaña 1,Calificado,"Consultoría, Publicidad",3518,2025-11-21T22:46:04.997151,2025-11-21T22:46:04.997152,Nota inicial del lead 7,Vendedor 4
LD-8,Héctor Rodríguez,héctor.rodríguez@correo.com,3008811675,Perú,Instagram,Campaña 1,En negociación,"Publicidad, Marketing",4147,2025-11-21T22:46:04.997161,2025-11-21T22:46:04.997163,Nota inicial del lead 8,Vendedor 1
LD-9,Valeria Martínez,valeria.martínez@correo.com,3002807938,Argentina,WhatsApp,Campaña 1,Perdido,"Marketing, Software",1916,2025-11-21T22:46:04.997168,2025-11-21T22:46:04.997170,Nota inicial del lead 9,Vendedor 2
LD-10,Jorge Morales,jorge.morales@correo.com,3001121343,Colombia,Google Ads,Campaña 1,Nuevo,"Software, Cursos",1509,2025-11-21T22:46:04.997175,2025-11-21T22:46:04.997176,Nota inicial del lead 10,Vendedor 3
LD-11,Luis Morales,luis.morales@correo.com,3009641845,México,Facebook Ads,Campaña 1,Contactado,"Cursos, Consultoría",5086,2025-11-21T22:46:04.997181,2025-11-21T22:46:04.997183,Nota inicial del lead 11,Vendedor 4
LD-12,María Morales,maría.morales@correo.com,3009841995,Chile,Landing Page,Campaña 1,Calificado,"Consultoría, Publicidad",1158,2025-11-21T22:46:04.997189,2025-11-21T22:46:04.997190,Nota inicial del lead 12,Vendedor 1
LD-13,Felipe Gómez,felipe.gómez@correo.com,3006425639,Perú,Instagram,Campaña 1,En negociación,"Publicidad, Marketing",3613,2025-11-21T22:46:04.997195,2025-11-21T22:46:04.997196,Nota inicial del lead 13,Vendedor 2
LD-14,Valeria Jiménez,valeria.jiménez@correo.com,3008555042,Argentina,WhatsApp,Campaña 1,Perdido,"Marketing, Software",3948,2025-11-21T22:46:04.997201,2025-11-21T22:46:04.997202,Nota inicial del lead 14,Vendedor 3
LD-15,Paula Gómez,paula.gómez@correo.com,3006245243,Colombia,Google Ads,Campaña 1,Nuevo,"Software, Cursos",2935,2025-11-21T22:46:04.997207,2025-11-21T22:46:04.997208,Nota inicial del lead 15,Vendedor 4
LD-16,Camila Silva,camila.silva@correo.com,3003746350,México,Facebook Ads,Campaña 1,Contactado,"Cursos, Consultoría",1552,2025-11-21T22:46:04.997213,2025-11-21T22:46:04.997214,Nota inicial del lead 16,Vendedor 1
LD-17,Valeria Martínez,valeria.martínez@correo.com,3004918033,Chile,Landing Page,Campaña 1,Calificado,"Consultoría, Publicidad",1664,2025-11-21T22:46:04.997219,2025-11-21T22:46:04.997220,Nota inicial del lead 17,Vendedor 2
LD-18,María Díaz,maría.díaz@correo.com,3001190373,Perú,Instagram,Campaña 1,En negociación,"Publicidad, Marketing",1704,2025-11-21T22:46:04.997225,2025-11-21T22:46:04.997227,Nota inicial del lead 18,Vendedor 3
LD-19,Héctor Gómez,héctor.gómez@correo.com,3003592805,Argentina,WhatsApp,Campaña 1,Perdido,"Marketing, Software",2712,2025-11-21T22:46:04.997231,2025-11-21T22:46:04.997232,Nota inicial del lead 19,Vendedor 4
LD-20,Valeria López,valeria.lópez@correo.com,3008652673,Colombia,Google Ads,Campaña 1,Nuevo,"Software, Cursos",4763,2025-11-21T22:46:04.997237,2025-11-21T22:46:04.997238,Nota inicial del lead 20,Vendedor 1
LD-21,Carlos Romero,carlos.romero@correo.com,3003945625,México,Facebook Ads,Campaña 2,Contactado,"Cursos, Consultoría",924,2025-11-21T22:46:04.997243,2025-11-21T22:46:04.997244,Nota inicial del lead 21,Vendedor 2
LD-22,Héctor Vargas,héctor.vargas@correo.com,3008436557,Chile,Landing Page,Campaña 2,Calificado,"Consultoría, Publicidad",3758,2025-11-21T22:46:04.997249,2025-11-21T22:46:04.997250,Nota inicial del lead 22,Vendedor 3
LD-23,Daniela Jiménez,daniela.jiménez@correo.com,3004727879,Perú,Instagram,Campaña 2,En negociación,"Publicidad, Marketing",1962,2025-11-21T22:46:04.997254,2025-11-21T22:46:04.997256,Nota inicial del lead 23,Vendedor 4
LD-24,Miguel Silva,miguel.silva@correo.com,3008611037,Argentina,WhatsApp,Campaña 2,Perdido,"Marketing, Software",5443,2025-11-21T22:46:04.997260,2025-11-21T22:46:04.997261,Nota inicial del lead 24,Vendedor 1
LD-25,Laura Castillo,laura.castillo@correo.com,3007996785,Colombia,Google Ads,Campaña 2,Nuevo,"Software, Cursos",5369,2025-11-21T22:46:04.997266,2025-11-21T22:46:04.997267,Nota inicial del lead 25,Vendedor 2
LD-26,Felipe Martínez,felipe.martínez@correo.com,3003821603,México,Facebook Ads,Campaña 2,Contactado,"Cursos, Consultoría",3536,2025-11-21T22:46:04.997272,2025-11-21T22:46:04.997273,Nota inicial del lead 26,Vendedor 3
LD-27,Felipe García,felipe.garcía@correo.com,3001756004,Chile,Landing Page,Campaña 2,Calificado,"Consultoría, Publicidad",999,2025-11-21T22:46:04.997278,2025-11-21T22:46:04.997279,Nota inicial del lead 27,Vendedor 4
LD-28,María López,maría.lópez@correo.com,3009858707,Perú,Instagram,Campaña 2,En negociación,"Publicidad, Marketing",1770,2025-11-21T22:46:04.997284,2025-11-21T22:46:04.997285,Nota inicial del lead 28,Vendedor 1
LD-29,Laura Morales,laura.morales@correo.com,3001010536,Argentina,WhatsApp,Campaña 2,Perdido,"Marketing, Software",758,2025-11-21T22:46:04.997289,2025-11-21T22:46:04.997291,Nota inicial del lead 29,Vendedor 2
LD-30,Andrés Jiménez,andrés.jiménez@correo.com,3001250525,Colombia,Google Ads,Campaña 2,Nuevo,"Software, Cursos",2293,2025-11-21T22:46:04.997295,2025-11-21T22:46:04.997296,Nota inicial del lead 30,Vendedor 3
LD-31,David Torres,david.torres@correo.com,3003153071,México,Facebook Ads,Campaña 2,Contactado,"Cursos, Consultoría",2446,2025-11-21T22:46:04.997301,2025-11-21T22:46:04.997303,Nota inicial del lead 31,Vendedor 4
LD-32,Miguel Cortés,miguel.cortés@correo.com,3009180457,Chile,Landing Page,Campaña 2,Calificado,"Consultoría, Publicidad",996,2025-11-21T22:46:04.997307,2025-11-21T22:46:04.997308,Nota inicial del lead 32,Vendedor 1
LD-33,Diana Rodríguez,diana.rodríguez@correo.com,3001493738,Perú,Instagram,Campaña 2,En negociación,"Publicidad, Marketing",3316,2025-11-21T22:46:04.997313,2025-11-21T22:46:04.997315,Nota inicial del lead 33,Vendedor 2
LD-34,Sara Rojas,sara.rojas@correo.com,3002344278,Argentina,WhatsApp,Campaña 2,Perdido,"Marketing, Software",5266,2025-11-21T22:46:04.997319,2025-11-21T22:46:04.997321,Nota inicial del lead 34,Vendedor 3
LD-35,Sara Castillo,sara.castillo@correo.com,3008778831,Colombia,Google Ads,Campaña 2,Nuevo,"Software, Cursos",2474,2025-11-21T22:46:04.997325,2025-11-21T22:46:04.997326,Nota inicial del lead 35,Vendedor 4
LD-36,Laura Castillo,laura.castillo@correo.com,3009870089,México,Facebook Ads,Campaña 2,Contactado,"Cursos, Consultoría",2518,2025-11-21T22:46:04.997330,2025-11-21T22:46:04.997332,Nota inicial del lead 36,Vendedor 1
LD-37,Héctor Rojas,héctor.rojas@correo.com,3005394397,Chile,Landing Page,Campaña 2,Calificado,"Consultoría, Publicidad",2207,2025-11-21T22:46:04.997336,2025-11-21T22:46:04.997338,Nota inicial del lead 37,Vendedor 2
LD-38,Paula Romero,paula.romero@correo.com,3004744581,Perú,Instagram,Campaña 2,En negociación,"Publicidad, Marketing",4352,2025-11-21T22:46:04.997342,2025-11-21T22:46:04.997344,Nota inicial del lead 38,Vendedor 3
LD-39,Diana Reyes,diana.reyes@correo.com,3008266809,Argentina,WhatsApp,Campaña 2,Perdido,"Marketing, Software",931,2025-11-21T22:46:04.997348,2025-11-21T22:46:04.997349,Nota inicial del lead 39,Vendedor 4
LD-40,Valeria Rojas,valeria.rojas@correo.com,3002340104,Colombia,Google Ads,Campaña 2,Nuevo,"Software, Cursos",2129,2025-11-21T22:46:04.997353,2025-11-21T22:46:04.997355,Nota inicial del lead 40,Vendedor 1
LD-41,Camila Gómez,camila.gómez@correo.com,3007810031,México,Facebook Ads,Campaña 3,Contactado,"Cursos, Consultoría",3145,2025-11-21T22:46:04.997359,2025-11-21T22:46:04.997360,Nota inicial del lead 41,Vendedor 2
LD-42,Laura Rojas,laura.rojas@correo.com,3002328144,Chile,Landing Page,Campaña 3,Calificado,"Consultoría, Publicidad",4690,2025-11-21T22:46:04.997365,2025-11-21T22:46:04.997366,Nota inicial del lead 42,Vendedor 3
LD-43,Luis Mendoza,luis.mendoza@correo.com,3006624922,Perú,Instagram,Campaña 3,En negociación,"Publicidad, Marketing",1611,2025-11-21T22:46:04.997370,2025-11-21T22:46:04.997372,Nota inicial del lead 43,Vendedor 4
LD-44,Felipe Rojas,felipe.rojas@correo.com,3008135282,Argentina,WhatsApp,Campaña 3,Perdido,"Marketing, Software",4886,2025-11-21T22:46:04.997376,2025-11-21T22:46:04.997377,Nota inicial del lead 44,Vendedor 1
LD-45,Laura Vargas,laura.vargas@correo.com,3002986339,Colombia,Google Ads,Campaña 3,Nuevo,"Software, Cursos",5187,2025-11-21T22:46:04.997381,2025-11-21T22:46:04.997383,Nota inicial del lead 45,Vendedor 2
LD-46,Carlos Jiménez,carlos.jiménez@correo.com,3007478922,México,Facebook Ads,Campaña 3,Contactado,"Cursos, Consultoría",3874,2025-11-21T22:46:04.997387,2025-11-21T22:46:04.997389,Nota inicial del lead 46,Vendedor 3
LD-47,Paula Mendoza,paula.mendoza@correo.com,3002868027,Chile,Landing Page,Campaña 3,Calificado,"Consultoría, Publicidad",4178,2025-11-21T22:46:04.997393,2025-11-21T22:46:04.997394,Nota inicial del lead 47,Vendedor 4
LD-48,Ana Castillo,ana.castillo@correo.com,3001159398,Perú,Instagram,Campaña 3,En negociación,"Publicidad, Marketing",1126,2025-11-21T22:46:04.997398,2025-11-21T22:46:04.997399,Nota inicial del lead 48,Vendedor 1
LD-49,Carlos Rojas,carlos.rojas@correo.com,3008965661,Argentina,WhatsApp,Campaña 3,Perdido,"Marketing, Software",508,2025-11-21T22:46:04.997404,2025-11-21T22:46:04.997406,Nota inicial del lead 49,Vendedor 2
LD-50,Luis García,luis.garcía@correo.com,3005838202,Colombia,Google Ads,Campaña 3,Nuevo,"Software, Cursos",2138,2025-11-21T22:46:04.997410,2025-11-21T22:46:04.997411,Nota inicial del lead 50,Vendedor 3
LD-51,Diana Vargas,diana.vargas@correo.com,3008573417,México,Facebook Ads,Campaña 3,Contactado,"Cursos, Consultoría",5038,2025-11-21T22:46:04.997415,2025-11-21T22:46:04.997417,Nota inicial del lead 51,Vendedor 4
LD-52,Ana Silva,ana.silva@correo.com,3006937169,Chile,Landing Page,Campaña 3,Calificado,"Consultoría, Publicidad",2926,2025-11-21T22:46:04.997421,2025-11-21T22:46:04.997423,Nota inicial del lead 52,Vendedor 1
LD-53,Felipe Gómez,felipe.gómez@correo.com,3001515444,Perú,Instagram,Campaña 3,En negociación,"Publicidad, Marketing",2504,2025-11-21T22:46:04.997427,2025-11-21T22:46:04.997428,Nota inicial del lead 53,Vendedor 2
LD-54,David Gómez,david.gómez@correo.com,3005395657,Argentina,WhatsApp,Campaña 3,Perdido,"Marketing, Software",3180,2025-11-21T22:46:04.997433,2025-11-21T22:46:04.997434,Nota inicial del lead 54,Vendedor 3
LD-55,Sara Castillo,sara.castillo@correo.com,3004081143,Colombia,Google Ads,Campaña 3,Nuevo,"Software, Cursos",4977,2025-11-21T22:46:04.997438,2025-11-21T22:46:04.997440,Nota inicial del lead 55,Vendedor 4
LD-56,Sara Castillo,sara.castillo@correo.com,3004256649,México,Facebook Ads,Campaña 3,Contactado,"Cursos, Consultoría",2452,2025-11-21T22:46:04.997444,2025-11-21T22:46:04.997445,Nota inicial del lead 56,Vendedor 1
LD-57,Juan López,juan.lópez@correo.com,3008608166,Chile,Landing Page,Campaña 3,Calificado,"Consultoría, Publicidad",4431,2025-11-21T22:46:04.997449,2025-11-21T22:46:04.997451,Nota inicial del lead 57,Vendedor 2
